id,in_degree,out_degree,total_degree,in_deg_cent,out_deg_cent,clustering,pagerank,hub_score,auth_score,betweenness,k_core
0,2,4,6,0.00020002000200020003,0.00040004000400040005,0.5,2.7039401298752556e-05,6.153876533430375e-06,7.175786957395545e-06,0.0,4
1,1,5,6,0.00010001000100010001,0.0005000500050005,0.3,2.3108492417794667e-05,1.15383359973861e-05,2.4532966465554493e-06,0.0,4
2,2,4,6,0.00020002000200020003,0.00040004000400040005,0.2,2.7039401298752556e-05,6.461487639049848e-06,7.0531551025128315e-06,0.0,4
4,25,5,30,0.0025002500250025004,0.0005000500050005,0.10846560846560846,0.0002934753649738516,6.242059308385098e-05,3.360949148058848e-05,4.751681257296781e-05,5
5,54,5,59,0.0054005400540054005,0.0005000500050005,0.0512987012987013,0.0030903756137472386,0.0005292398547752378,0.0009074350677911644,0.0041180485080512036,5
15,21,5,26,0.0021002100210021,0.0005000500050005,0.09090909090909091,0.00042759093019974155,1.7813146806499895e-07,0.0008269814542612631,0.002561141951344007,4
11,8,3,11,0.0008000800080008001,0.00030003000300030005,0.09090909090909091,6.533370181138974e-05,5.501445721196109e-05,9.254793887352616e-05,3.5391569143864157e-06,4
13,35,5,40,0.0035003500350035003,0.0005000500050005,0.06349206349206349,0.008298940073315832,4.003760781946457e-05,0.0008540175062169751,0.0012481783676631256,5
14,13,5,18,0.0013001300130013002,0.0005000500050005,0.10457516339869281,0.0001597963135424165,2.6958269644306803e-05,4.432455211784969e-05,0.0002990216449574988,5
32771,2,5,7,0.00020002000200020003,0.0005000500050005,0.3,3.9750619271380666e-05,2.6514152562666724e-07,7.328383083786899e-06,0.0004647133495472023,4
2261,5,3,8,0.0005000500050005,0.00030003000300030005,0.5333333333333333,0.00016963947972615265,5.991841228609445e-07,1.138954322025401e-06,0.00040801634518733795,4
18464,6,5,11,0.0006000600060006001,0.0005000500050005,0.4,8.35125026668725e-05,2.203872169954839e-07,2.2545887875054544e-05,0.0026836472852409805,4
