id,community_id,asin,title,group,avg_rating,label,rating,degree,degree_centrality
0,0,771044445,,,0,,0,4,0.00040004
1,0,827229534, Patterns of Preaching: A Sermon Sampler, Book,5, Patterns of Preaching: A Sermon Sampler,5,5,0.00050005
2,0,738700797, Candlemas: Feast of Flames, Book,4.5, Candlemas: Feast of Flames,4.5,5,0.00050005
4,1,842328327, Life Application Bible Commentary: 1 and 2 Timothy and Titus, Book,4, Life Application Bible Commentary: 1 and 2 Timothy and Titus,4,28,0.00280028
5,0,1577943082, Prayers That Avail Much for Business: Executive, Book,0, Prayers That Avail Much for Business: Executive,0,56,0.00560056
6,2,486220125, How the Other Half Lives: Studies Among the Tenements of New York, Book,4, How the Other Half Lives: Studies Among the Tenements of New York,4,101,0.01010101
7,1, B00000AU3R, Batik, Music,4.5, Batik,4.5,37,0.00370037
8,3,231118597, Losing Matt Shepard, Book,4.5, Losing Matt Shepard,4.5,296,0.02960296
9,4,1859677800, Making Bread: The Taste of Traditional Home-Baking, Book,0, Making Bread: The Taste of Traditional Home-Baking,0,20,0.0020002
10,0,375709363, The Edward Said Reader, Book,4, The Edward Said Reader,4,36,0.00360036
11,4,871318237, Resetting the Clock : Five Anti-Aging Hormones That Improve and Extend Life, Book,5, Resetting the Clock : Five Anti-Aging Hormones That Improve and Extend Life,5,11,0.00110011
13,5,313230269, Clockwork Worlds : Mechanized Environments in SF (Contributions to the Study of Science Fiction and Fantasy), Book,0, Clockwork Worlds : Mechanized Environments in SF (Contributions to the Study of Science Fiction and Fantasy),0,36,0.00360036
14,35, B00004W1W1, Later..., Music,0, Later...,0,18,0.00180018
15,7,1559362022, Wake Up and Smell the Coffee, Book,4, Wake Up and Smell the Coffee,4,22,0.00220022
16,1,195110382, War at Sea: A Naval History of World War II, Book,4.5, War at Sea: A Naval History of World War II,4.5,7,0.00070007
17,4,849311012, Telecommunications Cost Management, Book,3.5, Telecommunications Cost Management,3.5,25,0.00250025
18,4, B000007R0T, Sol to Soul, Music,5, Sol to Soul,5,173,0.01730173
19,1, 078510870X, Ultimate Marvel Team-Up, Book,3.5, Ultimate Marvel Team-Up,3.5,15,0.00150015
20,5,3895780812," Computed Tomography : Fundamentals, System Technology, Image Quality, Applications", Book,5," Computed Tomography : Fundamentals, System Technology, Image Quality, Applications",5,51,0.00510051
21,5,790747324, The Time Machine, DVD,4.5, The Time Machine,4.5,62,0.00620062
22,5, B00005NTSV, Come What May, Music,4.5, Come What May,4.5,28,0.00280028
23,5,393049388, Strange Fire: A Novel, Book,3, Strange Fire: A Novel,3,44,0.00440044
24,3,553525476," The Casebook of Sherlock Holmes, Volume 2 (Casebook of Sherlock Holmes)", Book,4.5," The Casebook of Sherlock Holmes, Volume 2 (Casebook of Sherlock Holmes)",4.5,11,0.00110011
27,27,231096704, The Columbia Anthology of Gay Literature, Book,3, The Columbia Anthology of Gay Literature,3,46,0.00460046
28,5,1893732290, God Knows Marriage Isn't Always Easy: 12 Ways to Add Zest (God Knows), Book,0, God Knows Marriage Isn't Always Easy: 12 Ways to Add Zest (God Knows),0,42,0.00420042
29,9,781718791, Advanced Pediatric Clinical Assessment: Skills and Procedures, Book,0, Advanced Pediatric Clinical Assessment: Skills and Procedures,0,17,0.00170017
30,10,471150274, Solving Statics Problems with MathCAD, Book,0, Solving Statics Problems with MathCAD,0,52,0.00520052
31,4,895872218, Backroad Buffets & Country Cafes: A Southern Guide to Meat-And-Threes & Down-Home Dining, Book,5, Backroad Buffets & Country Cafes: A Southern Guide to Meat-And-Threes & Down-Home Dining,5,12,0.00120012
32,4,761116982, Staff Meals from Chanterelle, Book,4.5, Staff Meals from Chanterelle,4.5,37,0.00370037
33,11,439240751," Double Jeopardy (T*Witches, 6)", Book,5," Double Jeopardy (T*Witches, 6)",5,363,0.03630363
34,4, B000002O8D," Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour, Vol. 1", Music,4," Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour, Vol. 1",4,105,0.01050105
35,35,618111212, Burnt Toast on Davenport Street, Book,4.5, Burnt Toast on Davenport Street,4.5,34,0.00340034
36,4,1898630038, Uists & Barra (Pevensey Island guides), Book,0, Uists & Barra (Pevensey Island guides),0,20,0.0020002
37,5, B000056PNC," Mark Messier - Leader, Champion & Legend", DVD,3.5," Mark Messier - Leader, Champion & Legend",3.5,52,0.00520052
40,3,1573221740, Renovations: A Father and Son Rebuild a House and Rediscover Each Other, Book,5, Renovations: A Father and Son Rebuild a House and Rediscover Each Other,5,20,0.0020002
42,3, B000056PNB, Pixote, DVD,4.5, Pixote,4.5,6,0.00060006
48,10,439420717, Scooby-doo Mysteries #24 (Scooby-Doo Mysteries), Book,0, Scooby-doo Mysteries #24 (Scooby-Doo Mysteries),0,11,0.00110011
49,10, B00004W1WI, Murder She Wrote, Music,0, Murder She Wrote,0,13,0.00130013
50,10, B00004W1WK, Still Life, Music,5, Still Life,5,4,0.00040004
51,4,687054532, Out on the Edge: A Wake-Up Call for Church Leaders on the Edge of the Media Reformation, Book,4, Out on the Edge: A Wake-Up Call for Church Leaders on the Edge of the Media Reformation,4,42,0.00420042
52,4,875420532, Secrets of Gypsy Love Magick (Llewellyn's New Age Series), Book,4.5, Secrets of Gypsy Love Magick (Llewellyn's New Age Series),4.5,12,0.00120012
53,35,944708498, Baby Boomer Retirement: 65 Simple Ways to Protect Your Future, Book,5, Baby Boomer Retirement: 65 Simple Ways to Protect Your Future,5,65,0.00650065
54,35,613100093, Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books), Book,5, Betsy & Tacy Go over the Big Hill (Betsy and Tacy Books),5,32,0.00320032
55,35,486275035, Goldilocks and the Three Bears : Full-Color Picture Book (Dover Little Activity Books), Book,4, Goldilocks and the Three Bears : Full-Color Picture Book (Dover Little Activity Books),4,4,0.00040004
